sku,supplier,status,prom_offer_id,prom_group_id,fallback_price
1101-1703,ZAINSTRUMENTOM,ACTIVE,1101-1703,992,485.00
1101-1704,ZAINSTRUMENTOM,ACTIVE,1101-1704,992,544.00
1101-1705,ZAINSTRUMENTOM,ACTIVE,1101-1705,992,493.00
1101-1706,ZAINSTRUMENTOM,ACTIVE,1101-1706,992,493.00
1101-2464,ZAINSTRUMENTOM,ACTIVE,1101-2464,992,424.00
1102-0193,ZAINSTRUMENTOM,ACTIVE,1102-0193,1052808855,677.00
1102-0201,ZAINSTRUMENTOM,ACTIVE,1102-0201,1052808855,460.00
1103-0030,ZAINSTRUMENTOM,ACTIVE,1103-0030,1139723342,840.00
1103-0722,ZAINSTRUMENTOM,ACTIVE,1103-0722,983,547.00
1103-1747,ZAINSTRUMENTOM,ACTIVE,1103-1747,1139725572,1866.00
1103-2013,ZAINSTRUMENTOM,ACTIVE,1103-2013,1006,1078.00
1103-2016,ZAINSTRUMENTOM,ACTIVE,1103-2016,1139723190,910.00
1103-2017,ZAINSTRUMENTOM,ACTIVE,1103-2017,1006,1001.00
1103-2020,ZAINSTRUMENTOM,ACTIVE,1103-2020,1139723342,1639.00
1103-2021,ZAINSTRUMENTOM,ACTIVE,1103-2021,1139723342,1686.00
1103-2029,ZAINSTRUMENTOM,ACTIVE,1103-2029,983,689.00
1103-2422,ZAINSTRUMENTOM,ACTIVE,1103-2422,1139723342,1567.00
1103-2427,ZAINSTRUMENTOM,ACTIVE,1103-2427,1139723342,1437.00
1103-2430,ZAINSTRUMENTOM,ACTIVE,1103-2430,1139723342,917.00
1103-2531,ZAINSTRUMENTOM,ACTIVE,1103-2531,1139723342,1102.00
1103-2600,ZAINSTRUMENTOM,ACTIVE,1103-2600,1139723342,1157.00
1104-0120,ZAINSTRUMENTOM,ACTIVE,1104-0120,1139723342,484.00
1104-2023,ZAINSTRUMENTOM,ACTIVE,1104-2023,983,866.00
1104-2399,ZAINSTRUMENTOM,ACTIVE,1104-2399,983,738.00
1104-2400,ZAINSTRUMENTOM,ACTIVE,1104-2400,983,956.00
1104-2534,ZAINSTRUMENTOM,ACTIVE,1104-2534,1139723190,461.00
1105-0349,ZAINSTRUMENTOM,ACTIVE,1105-0349,898,1024.00
1105-0350,ZAINSTRUMENTOM,ACTIVE,1105-0350,898,1071.00
1105-1729,ZAINSTRUMENTOM,ACTIVE,1105-1729,898,1329.00
1107-0865,ZAINSTRUMENTOM,ACTIVE,1107-0865,1007,518.00
1108-0867,ZAINSTRUMENTOM,ACTIVE,1108-0867,1002,562.00
1109-0869,ZAINSTRUMENTOM,ACTIVE,1109-0869,898,1163.00
1109-0870,ZAINSTRUMENTOM,ACTIVE,1109-0870,898,1163.00
1109-0871,ZAINSTRUMENTOM,ACTIVE,1109-0871,898,1068.00
1109-0873,ZAINSTRUMENTOM,ACTIVE,1109-0873,898,593.00
1109-0874,ZAINSTRUMENTOM,ACTIVE,1109-0874,898,593.00
1109-0877,ZAINSTRUMENTOM,ACTIVE,1109-0877,898,1431.00
1109-0881,ZAINSTRUMENTOM,ACTIVE,1109-0881,898,1051.00
1109-0882,ZAINSTRUMENTOM,ACTIVE,1109-0882,898,1124.00
1110-1759,ZAINSTRUMENTOM,ACTIVE,1110-1759,1114201846,721.00
1110-1760,ZAINSTRUMENTOM,ACTIVE,1110-1760,1114201846,905.00
1111-1756,ZAINSTRUMENTOM,ACTIVE,1111-1756,1114201846,2798.00
1111-1846,ZAINSTRUMENTOM,ACTIVE,1111-1846,1114201846,1315.00
1111-1847,ZAINSTRUMENTOM,ACTIVE,1111-1847,1114201846,1534.00
1201-0256,ZAINSTRUMENTOM,ACTIVE,1201-0256,1004,514.00
1201-0257,ZAINSTRUMENTOM,ACTIVE,1201-0257,1004,562.00
1201-0258,ZAINSTRUMENTOM,ACTIVE,1201-0258,1004,594.00
1201-1522,ZAINSTRUMENTOM,ACTIVE,1201-1522,1004,1158.00
1201-1524,ZAINSTRUMENTOM,ACTIVE,1201-1524,1004,1262.00
1202-0253,ZAINSTRUMENTOM,ACTIVE,1202-0253,1005,530.00
1202-1525,ZAINSTRUMENTOM,ACTIVE,1202-1525,1005,878.00
1202-1526,ZAINSTRUMENTOM,ACTIVE,1202-1526,1005,918.00
1202-1527,ZAINSTRUMENTOM,ACTIVE,1202-1527,1005,1177.00
1202-2053,ZAINSTRUMENTOM,ACTIVE,1202-2053,1005,468.00
1202-2055,ZAINSTRUMENTOM,ACTIVE,1202-2055,1005,594.00
1202-2071,ZAINSTRUMENTOM,ACTIVE,1202-2071,1005,619.00
1202-2072,ZAINSTRUMENTOM,ACTIVE,1202-2072,1005,708.00
1203-0254,ZAINSTRUMENTOM,ACTIVE,1203-0254,1004,440.00
1203-0255,ZAINSTRUMENTOM,ACTIVE,1203-0255,1004,504.00
1203-1528,ZAINSTRUMENTOM,ACTIVE,1203-1528,1004,834.00
1203-1529,ZAINSTRUMENTOM,ACTIVE,1203-1529,1004,895.00
1203-1530,ZAINSTRUMENTOM,ACTIVE,1203-1530,1004,1110.00
1203-2057,ZAINSTRUMENTOM,ACTIVE,1203-2057,1004,504.00
1203-2058,ZAINSTRUMENTOM,ACTIVE,1203-2058,1004,514.00
1204-0519,ZAINSTRUMENTOM,ACTIVE,1204-0519,1005,420.00
1204-0887,ZAINSTRUMENTOM,ACTIVE,1204-0887,1005,468.00
1204-2046,ZAINSTRUMENTOM,ACTIVE,1204-2046,1005,1157.00
1205-2048,ZAINSTRUMENTOM,ACTIVE,1205-2048,1005,1078.00
1205-2049,ZAINSTRUMENTOM,ACTIVE,1205-2049,1005,1078.00
1207-0890,ZAINSTRUMENTOM,ACTIVE,1207-0890,1002,503.00
1207-2061,ZAINSTRUMENTOM,ACTIVE,1207-2061,1004,389.00
1207-2062,ZAINSTRUMENTOM,ACTIVE,1207-2062,1005,389.00
1209-2211,ZAINSTRUMENTOM,ACTIVE,1209-2211,1003,1126.00
1209-2212,ZAINSTRUMENTOM,ACTIVE,1209-2212,1003,1422.00
1301-0696,ZAINSTRUMENTOM,ACTIVE,1301-0696,943,648.00
1301-0697,ZAINSTRUMENTOM,ACTIVE,1301-0697,943,606.00
1802-2044,ZAINSTRUMENTOM,ACTIVE,1802-2044,992,439.00
2004-2516,ZAINSTRUMENTOM,ACTIVE,2004-2516,879,1529.00
2004-2520,ZAINSTRUMENTOM,ACTIVE,2004-2520,879,570.00
2004-2521,ZAINSTRUMENTOM,ACTIVE,2004-2521,879,693.00
3004-0332,ZAINSTRUMENTOM,ACTIVE,3004-0332,996,921.00
3004-0339,ZAINSTRUMENTOM,ACTIVE,3004-0339,996,530.00
100096,ZAINSTRUMENTOM,ACTIVE,100096,1139723342,1611.00
100741,ZAINSTRUMENTOM,ACTIVE,100741,1139723190,1085.00
100744,ZAINSTRUMENTOM,ACTIVE,100744,1139723190,616.00
102105,ZAINSTRUMENTOM,ACTIVE,102105,1139723190,1155.00
102141,ZAINSTRUMENTOM,ACTIVE,102141,1139723190,1375.00
