sku,supplier,status,prom_offer_id,prom_group_id,fallback_price
9792155,SIGMA,ACTIVE,,903,2157.00
9792165,SIGMA,ACTIVE,,903,1359.00
9792175,SIGMA,ACTIVE,,903,1297.00
9792160,SIGMA,ACTIVE,,903,1234.00
9792265,SIGMA,ACTIVE,,903,1048.00
9792240,SIGMA,ACTIVE,,903,545.00
9792260,SIGMA,ACTIVE,,903,882.00
5019075,SIGMA,ACTIVE,,984,716.00
3715151,SIGMA,ACTIVE,,899,542.00
2033017351,TEKNOSEL,ACTIVE,2033017351,906,798.00
2122321414,TEKNOSEL,ACTIVE,2122321414,907,834.00
8223781,SIGMA,ACTIVE,8223781,1008,749.00
4320012,SIGMA,ACTIVE,4320012,1010,769.00
4322331,SIGMA,ACTIVE,4322331,1010,522.00
4321101,SIGMA,ACTIVE,4321101,1010,464.00
4321331,SIGMA,ACTIVE,4321331,1010,393.00
4311201,SIGMA,ACTIVE,4311201,1009,457.00
3821052,SIGMA,ACTIVE,3821052,999,429.00
4102522,SIGMA,ACTIVE,4102522,898,381.00
4372052,SIGMA,ACTIVE,4372052,898,1101.00
2622052,SIGMA,ACTIVE,2622052,1000,705.00
4321351,SIGMA,ACTIVE,4321351,1010,631.00
6009021,SIGMA,ACTIVE,6009021,945,2747.00
6134011,SIGMA,ACTIVE,6134011,898,1071.00
4321832,SIGMA,ACTIVE,4321832,1010,1386.00
