sku,supplier,status,prom_offer_id,prom_group_id,fallback_price
9626100,SIGMA,ACTIVE,9626100,1036,3788.00
9691912,SIGMA,ACTIVE,9691912,1330,464.00
9691913,SIGMA,ACTIVE,9691913,1330,498.00
BE-1D122C,SIGMA,ACTIVE,BE-1D122C,1038,3223.00
5063224,SIGMA,ACTIVE,5063224,987,1143.00
5063854,SIGMA,ACTIVE,5063854,987,1111.00
5066664,SIGMA,ACTIVE,5066664,987,1061.00
5076304,SIGMA,ACTIVE,5076304,985,1410.00
5068065,SIGMA,ACTIVE,5068065,987,995.00
5078795,SIGMA,ACTIVE,5078795,985,1770.00
1513151,SIGMA,ACTIVE,1513151,1031,882.00
2625011,SIGMA,ACTIVE,2625011,1000,860.00
3715201,SIGMA,ACTIVE,3715201,899,657.00
3715251,SIGMA,ACTIVE,3715251,899,905.00
3715271,SIGMA,ACTIVE,3715271,899,614.00
3715291,SIGMA,ACTIVE,3715291,899,954.00
3715301,SIGMA,ACTIVE,3715301,899,1162.00
3715321,SIGMA,ACTIVE,3715321,899,554.00
3715331,SIGMA,ACTIVE,3715331,899,699.00
3715341,SIGMA,ACTIVE,3715341,899,863.00
4322071,SIGMA,ACTIVE,4322071,1010,829.00
4322091,SIGMA,ACTIVE,4322091,1010,1035.00
4322341,SIGMA,ACTIVE,4322341,1010,659.00
4322361,SIGMA,ACTIVE,4322361,1010,877.00
4322381,SIGMA,ACTIVE,4322381,1010,1122.00
9804100,SIGMA,ACTIVE,9804100,1036,823.00
9804120,SIGMA,ACTIVE,9804120,1036,703.00
9804130,SIGMA,ACTIVE,9804130,1036,711.00
9804140,SIGMA,ACTIVE,9804140,1036,1135.00
9804150,SIGMA,ACTIVE,9804150,1036,964.00
9807120,SIGMA,ACTIVE,9807120,1036,707.00
9807130,SIGMA,ACTIVE,9807130,1036,682.00
9807140,SIGMA,ACTIVE,9807140,1036,1181.00
9807220,SIGMA,ACTIVE,9807220,1035,2040.00
9810100,SIGMA,ACTIVE,9810100,1036,1186.00
9820131,SIGMA,ACTIVE,9820131,1036,559.00
9840100,SIGMA,ACTIVE,9840100,1036,680.00
9840110,SIGMA,ACTIVE,9840110,1036,625.00
9840140,SIGMA,ACTIVE,9840140,1036,677.00
9840220,SIGMA,ACTIVE,9840220,1035,1239.00
9843100,SIGMA,ACTIVE,9843100,1036,664.00
9843110,SIGMA,ACTIVE,9843110,1036,671.00
9843140,SIGMA,ACTIVE,9843140,1036,675.00
9843220,SIGMA,ACTIVE,9843220,1035,1250.00
9846220,SIGMA,ACTIVE,9846220,1035,1000.00
9870120,SIGMA,ACTIVE,9870120,1036,856.00
9870130,SIGMA,ACTIVE,9870130,1036,966.00
9885120,SIGMA,ACTIVE,9885120,1036,666.00
9885140,SIGMA,ACTIVE,9885140,1036,621.00
4270122,SIGMA,ACTIVE,4270122,1110,1030.00
4270132,SIGMA,ACTIVE,4270132,1110,1377.00
4320022,SIGMA,ACTIVE,4320022,1010,859.00
4320032,SIGMA,ACTIVE,4320032,1010,1147.00
4320052,SIGMA,ACTIVE,4320052,1010,1553.00
4321842,SIGMA,ACTIVE,4321842,1010,2313.00
03-1-03-EN BDN,ZAINSTRUMENTOM,ACTIVE,03-1-03-EN BDN,1033,359.00
300-1-04,ZAINSTRUMENTOM,ACTIVE,300-1-04,1033,395.00
MW140_59253,ZAINSTRUMENTOM,ACTIVE,MW140_59253,1033,413.00
MW210_60730,ZAINSTRUMENTOM,ACTIVE,MW210_60730,1033,469.00
MW280_63267,ZAINSTRUMENTOM,ACTIVE,MW280_63267,1033,557.00
WDT_60754,ZAINSTRUMENTOM,ACTIVE,WDT_60754,1033,485.00
M-615,ZAINSTRUMENTOM,ACTIVE,M-615,1005,404.70
M-616,ZAINSTRUMENTOM,ACTIVE,M-616,1005,404.70
M-616F,ZAINSTRUMENTOM,ACTIVE,M-616F,1005,404.70
N-205S,ZAINSTRUMENTOM,ACTIVE,N-205S,1005,575.10
N-206S,ZAINSTRUMENTOM,ACTIVE,N-206S,1005,575.10
P-106,ZAINSTRUMENTOM,ACTIVE,P-106,1005,632.70
P-107,ZAINSTRUMENTOM,ACTIVE,P-107,1005,671.40
P-108,ZAINSTRUMENTOM,ACTIVE,P-108,1005,688.50
PL-717,ZAINSTRUMENTOM,ACTIVE,PL-717,1005,826.50
10742,ZAINSTRUMENTOM,ACTIVE,10742,1023,590.00
10929,ZAINSTRUMENTOM,ACTIVE,10929,898,848.00
13824,ZAINSTRUMENTOM,ACTIVE,13824,898,770.00
13962,ZAINSTRUMENTOM,ACTIVE,13962,898,665.00
14150,ZAINSTRUMENTOM,ACTIVE,14150,898,903.00
14160,ZAINSTRUMENTOM,ACTIVE,14160,898,1317.00
14170,ZAINSTRUMENTOM,ACTIVE,14170,898,1169.00
14627,ZAINSTRUMENTOM,ACTIVE,14627,898,2360.00
