sku,supplier,status,prom_offer_id,prom_group_id,fallback_price
3716252,SIGMA,ACTIVE,42383,998,814.00
3734082,SIGMA,ACTIVE,1266,998,574.00
3734102,SIGMA,ACTIVE,1267,998,683.00
3735102,SIGMA,ACTIVE,1273,998,925.00
3735152,SIGMA,ACTIVE,6871,998,1210.00
3822082,SIGMA,ACTIVE,2658,999,620.00
3825142,SIGMA,ACTIVE,17505,999,490.00
4000032,SIGMA,ACTIVE,14340,943,449.00
4000072,SIGMA,ACTIVE,14378,943,785.00
400270z,SIGMA,ACTIVE,2496,949,478.00
4016912,SIGMA,ACTIVE,29812,34489,612.00
4017092,SIGMA,ACTIVE,29815,34489,1133.00
4100082,SIGMA,ACTIVE,42067,898,622.00
4100112,SIGMA,ACTIVE,12028,898,500.00
4100122,SIGMA,ACTIVE,12029,898,622.00
4100132,SIGMA,ACTIVE,12030,898,913.00
4100182,SIGMA,ACTIVE,42068,898,471.00
4100232,SIGMA,ACTIVE,11980,898,618.00
4242312,SIGMA,ACTIVE,24200,994,676.00
4242332,SIGMA,ACTIVE,24201,994,787.00
4331142,SIGMA,ACTIVE,23322,1002,520.00
4343132,SIGMA,ACTIVE,38694,1004,500.00
4344032,SIGMA,ACTIVE,23325,1004,545.00
4355032,SIGMA,ACTIVE,23331,1005,548.00
4364032,SIGMA,ACTIVE,23334,1004,500.00
4372032,SIGMA,ACTIVE,11692,898,1101.00
4372112,SIGMA,ACTIVE,11694,898,1272.00
4372122,SIGMA,ACTIVE,11695,898,1684.00
4401532,SIGMA,ACTIVE,2478,1006,497.00
4401652,SIGMA,ACTIVE,15886,1006,534.00
6001112,SIGMA,ACTIVE,12970,893,7433.00
6050022,SIGMA,ACTIVE,2379,949,727.00
6055132,SIGMA,ACTIVE,6525,949,843.00
700026z,SIGMA,ACTIVE,2325,893,4576.00
7402402,SIGMA,ACTIVE,13158,850,2109.00
7417122,SIGMA,ACTIVE,13168,850,482.00
7417262,SIGMA,ACTIVE,13171,850,672.00
7417522,SIGMA,ACTIVE,13175,850,1709.00
9541106,SIGMA,ACTIVE,29649,903,3458.00
9541203,SIGMA,ACTIVE,29650,1330,1637.00
9541206,SIGMA,ACTIVE,29651,903,1310.00
9541326,SIGMA,ACTIVE,35129,1330,582.00
9541356,SIGMA,ACTIVE,35156,1330,523.00
9541357,SIGMA,ACTIVE,35130,1330,641.00
9541358,SIGMA,ACTIVE,35131,1330,434.00
9541428,SIGMA,ACTIVE,29636,903,328.00
9541526,SIGMA,ACTIVE,29652,903,718.00
9541626,SIGMA,ACTIVE,29653,903,672.00
9541822,SIGMA,ACTIVE,29656,1330,738.00
9541829,SIGMA,ACTIVE,29659,903,277.00
9542321,SIGMA,ACTIVE,35132,1330,575.00
9542331,SIGMA,ACTIVE,35134,1330,412.00
9542400,SIGMA,ACTIVE,29661,903,1470.00
9542402,SIGMA,ACTIVE,29662,903,639.00
9542530,SIGMA,ACTIVE,29664,903,657.00
9542820,SIGMA,ACTIVE,29665,903,346.00
9542830,SIGMA,ACTIVE,29666,903,266.00
9542839,SIGMA,ACTIVE,29667,903,299.00
9543210,SIGMA,ACTIVE,29637,903,1284.00
9543400,SIGMA,ACTIVE,29638,1330,1228.00
9544100,SIGMA,ACTIVE,29642,903,973.00
9544110,SIGMA,ACTIVE,29643,903,484.00
9544400,SIGMA,ACTIVE,29645,903,943.00
9544401,SIGMA,ACTIVE,29646,903,795.00
9544920,SIGMA,ACTIVE,35135,903,508.00
9545500,SIGMA,ACTIVE,29675,1330,1444.00
9545502,SIGMA,ACTIVE,29676,1330,1251.00
9545680,SIGMA,ACTIVE,29677,903,631.00
9545800,SIGMA,ACTIVE,29679,903,470.00
9545802,SIGMA,ACTIVE,29680,903,285.00
9545820,SIGMA,ACTIVE,29681,903,273.00
9549350,SIGMA,ACTIVE,232089,1330,330.00
9549351,SIGMA,ACTIVE,232090,1330,330.00
9549352,SIGMA,ACTIVE,232091,1330,330.00
9549354,SIGMA,ACTIVE,232093,1330,330.00
9549355,SIGMA,ACTIVE,232094,1330,330.00
9549870,SIGMA,ACTIVE,29691,1330,233.00
9555400,SIGMA,ACTIVE,232096,1330,615.00
STKB12,ZAINSTRUMENTOM,ACTIVE,STKB12,1019,679.00
STKB14,ZAINSTRUMENTOM,ACTIVE,STKB14,1019,744.00
UX4F,ZAINSTRUMENTOM,ACTIVE,UX4F,1019,715.00
UX5F,ZAINSTRUMENTOM,ACTIVE,UX5F,1019,765.00
UX6F,ZAINSTRUMENTOM,ACTIVE,UX6F,1019,811.00
UX8F,ZAINSTRUMENTOM,ACTIVE,UX8F,1019,1090.00
FC-33,ZAINSTRUMENTOM,ACTIVE,FC-33,1005,725.00
FC-33A,ZAINSTRUMENTOM,ACTIVE,FC-33A,1005,725.00
